name;material
HA-01;hat
HA-02;hat
HA-03;hat
HA-04;hat
HA-05;hat
JA-01;jacket
JA-02;jacket
JE-01;jeans
RA-01;raincoat
RA-02;raincoat
RAND-01
RAND-02
RAND-03
RAND-04
RAND-05
RAND-06
RAND-07
RAND-08
RAND-09
RAND-10
RAND-11
RAND-12
RAND-13
RAND-14
RAND-15
RAND-16
SH-01;shirt
SH-02;shirt
SH-03;shirt
SL-01;slippers
SL-02;slippers
SO-01;socks
SO-02;socks
SO-03;socks
SO-04;socks
ST-01;straw hat
ST-02;straw hat
ST-03;straw hat
ST-04;straw hat
SU-01;suit
SU-02;suit
SUN-01;sunglasses
SW-01;sweater
T-01;t-shirt
T-02;t-shirt
T-03;t-shirt
T-04;t-shirt
TR-01;tracksuit
TR-02;tracksuit
TRO-01;trousers
